antecedent_ids,antecedent_names,consequent_ids,consequent_names,support,confidence,lift,LHS,RHS
"21185, 4063, 48669","Roadhouse Pile High Pepperoni Pizza, Turkey Ham, Ultra Thin Overnight Pads with Wings","46767, 47468","Robert Mondavi Pinot Grigio California 2013, Hot Enough Hummus",0.3308,0.3727,1.1267,"{21185, 4063, 48669}","{46767, 47468}"
"45465, 5837","Shredded Swiss Cheese, Collard Mustard Turnip Greens Southern Blend","30254, 31506","Wild Pink Salmon, No Salt Added, Extra Virgin Olive Oil",0.0332,0.4363,13.1416,"{45465, 5837}","{30254, 31506}"
"1190, 7996","Tequila Reposado with Glass, Grenache Varietal Red Wine Vinegar",31452,Grape Cranberry Juice Cocktail,0.2025,0.9862,4.8701,"{1190, 7996}",{31452}
"18545, 28375, 38564","Buttery Spread, Natural Cedar Scent Toilet Cleaner, Euphoric Ylang Ylang Mineral Bath","42251, 48448","Organic Strawberry Thirst Quencher, Dates",0.1363,0.6947,5.0968,"{18545, 28375, 38564}","{42251, 48448}"
"36354, 9009","Bourbon Vanilla & Tangerine Hair Texturizer, Fuji  Apples","20302, 48914","Quick Oats, Chocolate Creme Cupcakes",0.4403,0.8965,2.0361,"{36354, 9009}","{20302, 48914}"
24789,Organic Cold Season Tea Bags,"38256, 4581","Maple Glazed Pecan & Sea Salt Bar, McCormick Minced Onion",0.222,0.5429,2.4455,{24789},"{38256, 4581}"
14410,Spicy Black Bean Veggie Burgers,17534,AFTER SHAVE CLASSIC,0.2629,0.5817,2.2126,{14410},{17534}
"29370, 37500","Organic White Cheddar Popcorn, Fresh Cut Sliced Beets","15532, 44101","Classic Honey Peanut Butter Squeeze, Passion Fruit Ginger Ale",0.1167,0.5126,4.3925,"{29370, 37500}","{15532, 44101}"
18134,Original Coconut Oil Soap,"28789, 3286","La Lechera Sweetened Condensed Milk, 9\"" OvenFresh Pie Plate",0.2198,0.4135,1.8813,{18134},"{28789, 3286}"
"10014, 17813, 37496","Fresh Puttanesca Sauce, Caraway Seed, Organic Deep Dark Sea Salt Chocolate","32685, 8353","Chicken & Vegetable Snack Sticks for Dogs, Organic Honey Bunch Grape Tomatoes",0.3752,0.586,1.5618,"{10014, 17813, 37496}","{32685, 8353}"
20171,White Bread,"33995, 34035","Five Cheese Garlic Bread, Hamburger Bun",0.2605,0.5009,1.9228,{20171},"{33995, 34035}"
"27115, 27804, 3092","All-Natural Autumn Apple  Fruit Strip, Spicy Kung Pao Noodle Bowl, Sour Cherry Sour Licorice Twists","49121, 9145","Rainbow Carrots, Fusilli Bucati No. 98 Macaroni",0.111,0.936,8.4324,"{27115, 27804, 3092}","{49121, 9145}"
"23020, 2989, 46068","Diet Tonic Water, Sweet Marsala, Cinnamon Chips Baking Pieces",20171,White Bread,0.4786,0.8219,1.7173,"{23020, 2989, 46068}",{20171}
"12101, 13817, 30254","Black Truffle Flavored Olive Oil, \""Im Pei-nut Butter\"" Double Chocolate Cookie & Peanut Butter Ice Cream, Wild Pink Salmon, No Salt Added",30498,Classics Canine Cuisine Variety Pack Wet Dog Food,0.1331,0.9212,6.9211,"{12101, 13817, 30254}",{30498}
"24132, 46153","Pure Life Splash Wild Berry Flavored Water, Cherry Pie Filling",210,Homemade Hot Arrabbiata Fra Diavolo Sauce,0.1679,0.4469,2.6617,"{24132, 46153}",{210}
"18087, 33926, 38974","Dandruff Shampoo Dry Scalp Care with Almond Oil, Adobo All Purpose Seasoning, Chopped Kit Southwest Salad Greek Yogurt Jalapeno Ranch Dessing","26554, 45903","Rigatoni With Chicken & Pesto, Sake",0.4701,0.9341,1.987,"{18087, 33926, 38974}","{26554, 45903}"
44199,Toll House Mini Chocolate Chip Cookie Dough,"2989, 5400","Sweet Marsala, Coconut Flavor",0.3513,0.3128,0.8904,{44199},"{2989, 5400}"
"1926, 24607, 29084","2 In 1 Super Foam & Scrub Sponges, Artichoke & Parmesan Dip, Honey Mustard Nut-Thins Cracker",39640,Dark Chocolate with Cinnamon Cayenne  & Cherries,0.1505,0.7905,5.2525,"{1926, 24607, 29084}",{39640}
"43847, 43983","Dory Blueberry Bubbles, Zingers Raspberry Cakes",32803,Regular Deodorant,0.3123,0.7627,2.4422,"{43847, 43983}",{32803}
43145,Pinto Beans with Jalapeno Peppers,"24974, 9009","Caramel Custard Yogurt, Fuji  Apples",0.4756,0.5811,1.2218,{43145},"{24974, 9009}"
"25037, 26508, 43847","Tortellini Primavera Parmesan Cafe Steamers, Dandruff Shampoo Plus Conditioner T/Gel® Daily Control, Dory Blueberry Bubbles","28583, 7879","Down East Olive Oil Crackers, American Cheese, Pre-Sliced",0.1119,0.5202,4.6488,"{25037, 26508, 43847}","{28583, 7879}"
"38988, 41139, 4500","White English Muffins, Complete Deep Clean Soft Bristles Toothbrush, Chimichanga Chicken & Cheese","10830, 37019","Sliced Canadian Bacon, Dairy Free Gluten Free Cookie Dough Coconut Milk Frozen Dessert",0.0188,0.5044,26.8298,"{38988, 41139, 4500}","{10830, 37019}"
"26345, 38974, 46069","Small/Medium Maximum Absorbency Women Underwear, Chopped Kit Southwest Salad Greek Yogurt Jalapeno Ranch Dessing, Supergreens!","16727, 20312","Organic Bosc Pears, Ultra Thin Crust Cheese Lovers Pizza",0.3012,0.4648,1.5432,"{26345, 38974, 46069}","{16727, 20312}"
43170,Toll House Premier White Chocolate Morsels,"11932, 41381","2\"" Width Self Adhering Elastic Athletic Bandage, Quaker Real Medleys Peach Apple Walnut Multigrain Cereal",0.0102,0.9355,91.7157,{43170},"{11932, 41381}"
"15859, 22757, 39640","World Harbor Marinade Sriracha, Bag of Kiwis, Dark Chocolate with Cinnamon Cayenne  & Cherries","41916, 4581","Barrel Aged Sriracha, McCormick Minced Onion",0.4705,0.484,1.0287,"{15859, 22757, 39640}","{41916, 4581}"
"17740, 33826, 47160","Tortillas, Flour, Apple Cinnamon Walnut Crisps, Hair Expertise Ever Pure Blonde Shampoo","43281, 45925","Organic Lemon Perfume Oil, All Natural Turkey Burgers",0.4788,0.4219,0.8812,"{17740, 33826, 47160}","{43281, 45925}"
25953,Guava Paste,"46069, 6255","Supergreens!, Multi-Grain Cheerios Dark Chocolate Crunch Cereal",0.2733,0.4807,1.7589,{25953},"{46069, 6255}"
8683,Complete Battery Power Toothbrush,26797,Drinkable Yogurt Starwberry,0.364,0.7671,2.1074,{8683},{26797}
19867,Sweet Corn & Carrot with Turkey + Sage Stage 3 Baby Food,6300,Light & Lean Pasta & Veggie Bowl,0.474,0.3262,0.6882,{19867},{6300}
"23350, 38592, 39098","Chow Mein Seasoning Mix, Toilet Bowl Cleaner With Bleach, Complete Health Kitten Dry Food","24181, 43337","No Sugar Added Lemon & Cherry Flavor Real Italian Ice, Pomegranate with Blueberry 100% Juice",0.4199,0.3645,0.8681,"{23350, 38592, 39098}","{24181, 43337}"
3735,Specialties Garlic Stuffed Queen Olives,7055,Large Vegetable Platter,0.489,0.341,0.6973,{3735},{7055}
"24466, 46546","Moroccan Red Clay and Argan Stem Cell Pore Minimizing Facial Scrub, Cocoa Butter Formula® Moisturizing Body Lotion","45761, 46767","Turkey Breast Thin Sliced Honey Roasted Deli Select, Robert Mondavi Pinot Grigio California 2013",0.1891,0.7612,4.0254,"{24466, 46546}","{45761, 46767}"
48872,Every Man's One Daily Multivitamin,41087,"Menstrual Cup, Model 1",0.4924,0.857,1.7405,{48872},{41087}
2248,Variety Pack Granola Bars,21185,Roadhouse Pile High Pepperoni Pizza,0.4134,0.5257,1.2716,{2248},{21185}
"19867, 20950","Sweet Corn & Carrot with Turkey + Sage Stage 3 Baby Food, Digestive Advantage Probiotic Fruit Gummies","32803, 41999","Regular Deodorant, Cut Tulips (Choose Color)",0.3774,0.9037,2.3945,"{19867, 20950}","{32803, 41999}"
46111,Pro V Shampoo & Conditioner 2 In 1 Classic Clean,30912,Original Decaf Medium Roast K-Cups,0.2391,0.8539,3.5713,{46111},{30912}
"15250, 8281","Good Buddy Rawhide Pressed Bone, Head of Lettuce",48949,Low Fat Strawberry Milk,0.4169,0.5036,1.208,"{15250, 8281}",{48949}
912,Mushroom Stems & Pieces in Water,19276,Whole Nutmeg,0.0537,0.5122,9.5382,{912},{19276}
43857,Traditional Chicken & Wild Rice Soup,"28583, 32165","Down East Olive Oil Crackers, Orange Unsweetened Soft Drink Mix",0.2121,0.9421,4.4418,{43857},"{28583, 32165}"
4200,60 Watt Crystal Clear Bulbs,"39640, 45814","Dark Chocolate with Cinnamon Cayenne  & Cherries, Rose Foaming Face Wash",0.4796,0.4861,1.0136,{4200},"{39640, 45814}"
4816,"Red, White & Blue Pop'ems","34415, 34824","Light Bologna & American Cracker Stackers Lunchhable, Organic Sweet Onion",0.053,0.6078,11.4679,{4816},"{34415, 34824}"
"24724, 26599, 41381","G Series Frost Rain Berry Flavor Sports Drink, Jasmine Green, Quaker Real Medleys Peach Apple Walnut Multigrain Cereal","17534, 35648","AFTER SHAVE CLASSIC, Butter Cookies",0.3438,0.9833,2.8601,"{24724, 26599, 41381}","{17534, 35648}"
"15913, 22951, 48476","Ranch Veggie Dip, Potato Hot Dog Bun, Tender Chicken & Stars Stage 3","29064, 29329","Black Cherry Water, Surface Wipes Fresh Scent",0.2607,0.5016,1.9241,"{15913, 22951, 48476}","{29064, 29329}"
10503,U Ultra Overnight With Wings Pads,"12536, 47512","Colby & Monterey Jack Cheese Sticks 12 Count, Lite Energy Drink",0.0607,0.3041,5.0099,{10503},"{12536, 47512}"
20392,Hair Bender Whole Bean Coffee,"38592, 46767","Toilet Bowl Cleaner With Bleach, Robert Mondavi Pinot Grigio California 2013",0.1919,0.9395,4.8958,{20392},"{38592, 46767}"
"1924, 26206, 6544","Long Grain Rice, Pickled Red Cabbage, Garlic Rosemary Citrus Sauce","21639, 4631","Cool Mint Wintergreen Toothpaste, Lip Rescue with Eco - Harvest Tea Tree Oil",0.3197,0.7336,2.2947,"{1924, 26206, 6544}","{21639, 4631}"
45848,Greek Yogurt Indulgent Raspberry,"35210, 9903","Natural Mozzarella Deli Style Sliced Cheese, Caramel Milk Chocolate Candy",0.434,0.6682,1.5396,{45848},"{35210, 9903}"
34353,Eco Chic Technology Tea Tree Triple Treat Conditioner for All Hair Types,23624,Flatbread Pizza All Natural,0.0512,0.8904,17.3906,{34353},{23624}
"14862, 18134, 39146","Aged White Cheddar Puffs Cheese Snacks, Original Coconut Oil Soap, Original Flax Milk",21639,Cool Mint Wintergreen Toothpaste,0.2864,0.6326,2.2088,"{14862, 18134, 39146}",{21639}
16469,Broccoli Cheddar Quiche,42350,Peanut Butter Cups Candy,0.2845,0.5336,1.8756,{16469},{42350}
"13139, 14230, 18593","Pure Peanut Oil, Golden Battered Fish Fillet With Rice And Cheesy Broccoli, Hardwood Smoked Sliced Turkey Breast","15255, 4500","Fat Free Rich Milk Chocolate Hot Cocoa Mix, Chimichanga Chicken & Cheese",0.3572,0.9469,2.6509,"{13139, 14230, 18593}","{15255, 4500}"
"15882, 32736","Passion Punch, Humectress Conditioner","14963, 42979","LashBlast Volume Mascara - Very Black 800, Four Star Collection Entertainment Crackers",0.0496,0.5384,10.8548,"{15882, 32736}","{14963, 42979}"
"14586, 24724, 25493","Fast Act Lactose Enzyme Vanilla Twist Flavor Supplement Chewable Tablets, G Series Frost Rain Berry Flavor Sports Drink, Cookies 'n Cream with Oreo Cookie Pieces Lowfat Yogurt","48015, 7402","Lime Slim Can, Mandarin Mango Hand Soap",0.1995,0.6038,3.0266,"{14586, 24724, 25493}","{48015, 7402}"
"1672, 33634","English Cucumbers, Clear Pore Oil Eliminating Astringent","29329, 44051","Surface Wipes Fresh Scent, Zero Vitamin Water",0.0471,0.9716,20.6285,"{1672, 33634}","{29329, 44051}"
4379,Tandoori Chicken Samosa,"15255, 20172","Fat Free Rich Milk Chocolate Hot Cocoa Mix, Almond Goat's Milk Soap",0.1804,0.7624,4.2262,{4379},"{15255, 20172}"
"12536, 16666, 34643","Colby & Monterey Jack Cheese Sticks 12 Count, Single Serve Donut Shop Coffee, 12 Count, Dry Roasted Macadamias",23624,Flatbread Pizza All Natural,0.3184,0.6638,2.0848,"{12536, 16666, 34643}",{23624}
"20312, 26367, 39146","Ultra Thin Crust Cheese Lovers Pizza, Alcohol-Free Witch Hazel Rose Petal Toner, Original Flax Milk",45925,All Natural Turkey Burgers,0.4946,0.479,0.9685,"{20312, 26367, 39146}",{45925}
"35316, 47160","Shower Cleaner, Hair Expertise Ever Pure Blonde Shampoo","22757, 26219","Bag of Kiwis, Original Spray Starch",0.2135,0.5408,2.533,"{35316, 47160}","{22757, 26219}"
27248,G-Series Rain Berry Thirst Quencher Sports Drink,39768,Rescue Natural Sleep Liquid Melts,0.2918,0.9371,3.2114,{27248},{39768}
"11788, 39146","Pecan Nuts, Original Flax Milk","16626, 48872","Brownie Moose Tracks Ice Cream, Every Man's One Daily Multivitamin",0.0339,0.8622,25.4336,"{11788, 39146}","{16626, 48872}"
36923,Trop50 No Pulp Orange Juice,"35825, 38218","Jumbo Franks, Rising Crust Three Meat Pizza",0.4269,0.9683,2.2682,{36923},"{35825, 38218}"
"27083, 46524, 6867","Organic Coconut Aloe Water, Natural Peanut Butter Crunchy and Flaxseed, Lunchables Turkey & American Cheese Cracker Stackers",48449,Frozen Concentrated Lemonade,0.3367,0.642,1.9067,"{27083, 46524, 6867}",{48449}
"27798, 46546","Sage & Aloe Throat Shield Lozenges, Cocoa Butter Formula® Moisturizing Body Lotion","13139, 9667","Pure Peanut Oil, Radiatore Pasta",0.4405,0.3624,0.8227,"{27798, 46546}","{13139, 9667}"
"24899, 38974","Spinach & Ricotta Tortelloni, Chopped Kit Southwest Salad Greek Yogurt Jalapeno Ranch Dessing","1077, 24474","Security Super Plus Unscented Tampons, Cherry Lemon Green Tea Pouches 15 Count",0.1403,0.8958,6.3849,"{24899, 38974}","{1077, 24474}"
"45007, 46257","Organic Zucchini, Protein Bar, High, Cookies & Cream","7879, 9344","American Cheese, Pre-Sliced, Simply 100 Pineapple Blended Non-Fat Greek Yogurt",0.1217,0.8399,6.9014,"{45007, 46257}","{7879, 9344}"
39511,Baby Diaper Rash Ointment,"23513, 41916","Relaxing Lavender Mineral Bath, Barrel Aged Sriracha",0.1144,0.7143,6.2439,{39511},"{23513, 41916}"
"691, 7402","Organic Promise Strawberry Fields Cereal, Mandarin Mango Hand Soap",13171,Organic Whole Grain Black Beans & Rice Rice & Seasoning Mix,0.3263,0.9277,2.8431,"{691, 7402}",{13171}
"13863, 41601","Amazing Meal Chocolate Infusion Single, All Profits To Charity Pineapple Salsa","10739, 376","Classic Decaf Instant Coffee Crystals, Even & Bright Pink Lemon and Mandarin Orange Body Wash",0.2426,0.8442,3.4798,"{13863, 41601}","{10739, 376}"
34412,"Big Bags with Double Zipper, XL",1672,English Cucumbers,0.303,0.4245,1.401,{34412},{1672}
"23027, 8582","Dominican Chocolate Bar, Banana Vanilla Freeze Dried Yogurt & Fruit Snacks","45465, 48449","Shredded Swiss Cheese, Frozen Concentrated Lemonade",0.2576,0.4049,1.5718,"{23027, 8582}","{45465, 48449}"
49254,Single Donut,23350,Chow Mein Seasoning Mix,0.159,0.4371,2.7491,{49254},{23350}
"13350, 26599","Vine Ripened Golden Berries, Jasmine Green",39391,Prosciutto Cotto,0.32,0.7864,2.4575,"{13350, 26599}",{39391}
"39568, 41872, 4479","Kick Ass Allergy, Herbal Tea, Organic Chamomile, Fair Trade Level 4",2714,Handi-Snacks Ritz Crackers 'n Cheese Dip,0.2747,0.3037,1.1056,"{39568, 41872, 4479}",{2714}
43170,Toll House Premier White Chocolate Morsels,"16150, 31250","Organic Seaweed Gomasio, Apples Honeycrisp",0.0211,0.3031,14.3649,{43170},"{16150, 31250}"
"13968, 20312, 210","Rustic Tomato Basil Sauce, Ultra Thin Crust Cheese Lovers Pizza, Homemade Hot Arrabbiata Fra Diavolo Sauce","15770, 24607","Hot Dog Chili Sauce, Artichoke & Parmesan Dip",0.0464,0.4782,10.306,"{13968, 20312, 210}","{15770, 24607}"
"11368, 41739, 4883","Dark Chocolate Mint Nutrition Bar, Boneless Fried Chicken & Waffles, Holiday Milk Chocolates",16150,Organic Seaweed Gomasio,0.1229,0.9655,7.856,"{11368, 41739, 4883}",{16150}
"28711, 28750","Tamale Pepper Cheese 3 Pk, Extra Sharp Cheddar Cheese Chunk",13193,Special Sauce,0.1833,0.7144,3.8974,"{28711, 28750}",{13193}
"37854, 4883","Berry Medley Oatmeal, Holiday Milk Chocolates",41910,Apple And Banana Fruit Squish'ems,0.4197,0.7148,1.7031,"{37854, 4883}",{41910}
"13817, 22897","\""Im Pei-nut Butter\"" Double Chocolate Cookie & Peanut Butter Ice Cream, Chai Latte",34412,"Big Bags with Double Zipper, XL",0.2857,0.6728,2.3549,"{13817, 22897}",{34412}
"38564, 45925","Euphoric Ylang Ylang Mineral Bath, All Natural Turkey Burgers",25080,"Ale, Not Quite Pale, No. 9",0.2649,0.3664,1.3832,"{38564, 45925}",{25080}
"17519, 22897, 28442","Organic Espresso Blend Whole Bean Coffee, Chai Latte, Coronita Beer Extra","17022, 41453","Elbows Pasta, Eggo Buttermilk Pancakes",0.1812,0.6032,3.3289,"{17519, 22897, 28442}","{17022, 41453}"
41999,Cut Tulips (Choose Color),"27688, 45814","Original Pops, Rose Foaming Face Wash",0.2291,0.8832,3.8551,{41999},"{27688, 45814}"
26021,Caramel Nut Brownie,23513,Relaxing Lavender Mineral Bath,0.2008,0.6533,3.2535,{26021},{23513}
"25625, 31981, 7829","Nonfat Yogurt, 1% Low Fat Milk, Organic Protein Vanilla Smoothie","19626, 24821","Baby Brussel Sprouts, Wild Rose Deodorant Spray",0.4231,0.3369,0.7963,"{25625, 31981, 7829}","{19626, 24821}"
"1097, 5985","Sonoma County Sauvignon Blanc, Red Bell Peppers",18593,Hardwood Smoked Sliced Turkey Breast,0.0816,0.5688,6.9706,"{1097, 5985}",{18593}
24474,Cherry Lemon Green Tea Pouches 15 Count,38036,Toasted Sesame Water Crackers,0.0625,0.997,15.952,{24474},{38036}
30369,Gluten Free Spinach And Cheese Ravioli,34415,Light Bologna & American Cracker Stackers Lunchhable,0.2245,0.6046,2.6931,{30369},{34415}
"22818, 37500, 48129","Cinnamon Pebbles Cereals, Fresh Cut Sliced Beets, NUT-rition Men's Health Recommended Mix",33632,Reduced Fat Pepper Jack  Cheese,0.2789,0.8405,3.0136,"{22818, 37500, 48129}",{33632}
"28546, 41815, 4200","Hello Kitty Fruit Flavored Snacks, Ham & Turkey Breast Sub Kit, 60 Watt Crystal Clear Bulbs","13959, 26797","Swiss Fudge Cookies, Drinkable Yogurt Starwberry",0.2838,0.3163,1.1145,"{28546, 41815, 4200}","{13959, 26797}"
34400,"Chutney, Major Grey Mango",19119,No. 3 Organic Extra Virgin Olive Oil,0.4448,0.9035,2.0312,{34400},{19119}
"14963, 210, 2248","LashBlast Volume Mascara - Very Black 800, Homemade Hot Arrabbiata Fra Diavolo Sauce, Variety Pack Granola Bars",7307,Sweet & Sour Chicken With Vegetables,0.1199,0.6925,5.7756,"{14963, 210, 2248}",{7307}
34600,On the Go Pink Lemonade Drink Mix,"17268, 376","Original Potato Chips Triple Pack, Even & Bright Pink Lemon and Mandarin Orange Body Wash",0.1986,0.3326,1.6747,{34600},"{17268, 376}"
"21278, 21391, 7055","All Purpose Crushed Tomatoes, Sardines In Soybean Oil, Large Vegetable Platter",4665,Sweet & Creamy Regular Medium Roast Iced K-Cups Arabica Coffee,0.3078,0.6798,2.2086,"{21278, 21391, 7055}",{4665}
34135,Home Style Mexican-Style Chicken Tortilla Soup,"28583, 46767","Down East Olive Oil Crackers, Robert Mondavi Pinot Grigio California 2013",0.1045,0.8105,7.756,{34135},"{28583, 46767}"
"23000, 40903, 48129","Professional Men's 3 In 1 Citrus Rush Shampoo + Conditioner + Bodywash, 2nd Foods Organic Fruit & Grain Apple Mango with Rice & Vanilla Baby Food, NUT-rition Men's Health Recommended Mix",28711,Tamale Pepper Cheese 3 Pk,0.3606,0.792,2.1963,"{23000, 40903, 48129}",{28711}
11558,Chicken & Beef Dinner Cat Food,"29370, 34583","Organic White Cheddar Popcorn, 100 Calorie Healthy Pop Kettle Corn Microwave Pop Corn",0.3192,0.372,1.1654,{11558},"{29370, 34583}"
"20392, 29551","Hair Bender Whole Bean Coffee, Creamy Carob Mousse Cheesecake",37785,Peanut Satay Asian Cuisine,0.0925,0.6437,6.9589,"{20392, 29551}",{37785}
31506,Extra Virgin Olive Oil,24040,Beef Flavor Dog Snacks,0.4861,0.6706,1.3796,{31506},{24040}
"18045, 43717","Clean & Refresh Antibacterial Body Wash, Lavender & Twilight Jasmine, 18-in-1 Hemp Pure-Castile Soap Almond",15532,Classic Honey Peanut Butter Squeeze,0.0679,0.4823,7.1031,"{18045, 43717}",{15532}
"41139, 48949","Complete Deep Clean Soft Bristles Toothbrush, Low Fat Strawberry Milk","14586, 39098","Fast Act Lactose Enzyme Vanilla Twist Flavor Supplement Chewable Tablets, Complete Health Kitten Dry Food",0.2892,0.9082,3.1404,"{41139, 48949}","{14586, 39098}"
"12031, 26599, 5616","Taco Seasoning, No. 4, Jasmine Green, Mexican Papaya","27115, 46401","All-Natural Autumn Apple  Fruit Strip, EAS Complete Chocolate Protein Powder",0.2351,0.57,2.4245,"{12031, 26599, 5616}","{27115, 46401}"
"15804, 30912","Fuji Apple Juice, Original Decaf Medium Roast K-Cups",10585,Spinach & Roasted Garlic Crackers,0.2633,0.5831,2.2146,"{15804, 30912}",{10585}
"1077, 37306, 8582","Security Super Plus Unscented Tampons, Take & Bake Multigrain Loaf, Banana Vanilla Freeze Dried Yogurt & Fruit Snacks",39643,Organic Dairy Iron-Fortified Toddler Formula,0.4213,0.4766,1.1313,"{1077, 37306, 8582}",{39643}
17427,Uncured Beef Franks,"19626, 20464","Baby Brussel Sprouts, Salted Almonds & Milk Chocolate 41% Cacao",0.3012,0.3809,1.2646,{17427},"{19626, 20464}"
"16440, 30912, 31506","Fridge Pack Diet Root Beer, Original Decaf Medium Roast K-Cups, Extra Virgin Olive Oil","19867, 35388","Sweet Corn & Carrot with Turkey + Sage Stage 3 Baby Food, Brooklyn Rye Oval",0.1956,0.7712,3.9427,"{16440, 30912, 31506}","{19867, 35388}"
"24301, 28375, 6242","Beneful Treats Baked Delights Hugs Dog Snacks, Natural Cedar Scent Toilet Cleaner, All Natural Boneless & Skinless Chicken Breasts Family Pack","1168, 35825","White Wine Winemaker's Blend California, 2010, Jumbo Franks",0.4413,0.4992,1.1312,"{24301, 28375, 6242}","{1168, 35825}"
48839,Buffalo Chicken Slow Cooker Sauces,33926,Adobo All Purpose Seasoning,0.3689,0.8707,2.3603,{48839},{33926}
11368,Dark Chocolate Mint Nutrition Bar,"24099, 47190","Snickerdoodle Cookie with Salted Caramel Ice Cream Sandwich, Kosher Matzo Meal For Passover",0.0317,0.564,17.7918,{11368},"{24099, 47190}"
2668,Whips! Strawberry Mist Yogurt Mousse,47468,Hot Enough Hummus,0.1581,0.9769,6.179,{2668},{47468}
"29084, 46524","Honey Mustard Nut-Thins Cracker, Natural Peanut Butter Crunchy and Flaxseed","3163, 6445","Natural Calm Anti-Stress Drink, Gold Blend Tea Bags",0.3929,0.5553,1.4133,"{29084, 46524}","{3163, 6445}"
32566,Dha Omega 3 Vitamin D Milk,"26021, 37777","Caramel Nut Brownie, Moroccan Infusion Color Care Shampoo",0.3035,0.7988,2.632,{32566},"{26021, 37777}"
"31452, 5400","Grape Cranberry Juice Cocktail, Coconut Flavor","42267, 46941","Classic Mustard, Provolone Slices",0.0909,0.333,3.6634,"{31452, 5400}","{42267, 46941}"
2562,Quick & Easy Steel Cut Irish Oatmeal,16666,"Single Serve Donut Shop Coffee, 12 Count",0.452,0.7348,1.6257,{2562},{16666}
30369,Gluten Free Spinach And Cheese Ravioli,"20464, 691","Salted Almonds & Milk Chocolate 41% Cacao, Organic Promise Strawberry Fields Cereal",0.374,0.3872,1.0353,{30369},"{20464, 691}"
"12129, 25493, 35340","12 Oz Lager, Cookies 'n Cream with Oreo Cookie Pieces Lowfat Yogurt, Jumbo Slider Bags",19249,Naturally Dry Natural Powder for Women Antiperspirant/Deodorant,0.4784,0.9797,2.0479,"{12129, 25493, 35340}",{19249}
"14041, 41916, 6867","Whole Grain Seeded Dinner Roll, Barrel Aged Sriracha, Lunchables Turkey & American Cheese Cracker Stackers","22075, 28546","Silicone Baby 3-12 Months Toothbrush, Hello Kitty Fruit Flavored Snacks",0.4452,0.4358,0.9789,"{14041, 41916, 6867}","{22075, 28546}"
"28198, 33826","Rainbow Candy, Apple Cinnamon Walnut Crisps","30968, 41453","Water Chestnut, Eggo Buttermilk Pancakes",0.0726,0.4821,6.6405,"{28198, 33826}","{30968, 41453}"
41381,Quaker Real Medleys Peach Apple Walnut Multigrain Cereal,"10739, 43145","Classic Decaf Instant Coffee Crystals, Pinto Beans with Jalapeno Peppers",0.3229,0.7494,2.3208,{41381},"{10739, 43145}"
"13401, 15534, 2606","Valerian Extract, Lightly Salted Roasted Edamame, Mr. Goodbar Milk Chocolate with Peanuts Candy Bar","15882, 41381","Passion Punch, Quaker Real Medleys Peach Apple Walnut Multigrain Cereal",0.2334,0.8344,3.575,"{13401, 15534, 2606}","{15882, 41381}"
"41381, 44051, 45925","Quaker Real Medleys Peach Apple Walnut Multigrain Cereal, Zero Vitamin Water, All Natural Turkey Burgers",16440,Fridge Pack Diet Root Beer,0.3699,0.911,2.4628,"{41381, 44051, 45925}",{16440}
42515,Nilla Wafers Reduced Fat,27798,Sage & Aloe Throat Shield Lozenges,0.1236,0.9718,7.8625,{42515},{27798}
"27784, 28666, 7007","Lemonade With Tea, Organic Vitality Snack Wild Raspberry, Raw Organic Chia Seeds",20281,Scoops! Corn Snacks,0.0856,0.8464,9.8879,"{27784, 28666, 7007}",{20281}
"26367, 41744","Alcohol-Free Witch Hazel Rose Petal Toner, Organic Cacao Beans",49293,Blue Decorating Cake Icing,0.3853,0.9512,2.4687,"{26367, 41744}",{49293}
"13401, 15913","Valerian Extract, Ranch Veggie Dip",8281,Head of Lettuce,0.4208,0.4139,0.9836,"{13401, 15913}",{8281}
45925,All Natural Turkey Burgers,7235,Stevia Plus Powder,0.425,0.4123,0.9701,{45925},{7235}
44012,Natural Active Life Aluminum Free Deodorant Sport Stick,21185,Roadhouse Pile High Pepperoni Pizza,0.1891,0.6417,3.3934,{44012},{21185}
"26219, 27929, 47190","Original Spray Starch, Wonder Mop Refill, Kosher Matzo Meal For Passover","376, 45814","Even & Bright Pink Lemon and Mandarin Orange Body Wash, Rose Foaming Face Wash",0.2415,0.6459,2.6745,"{26219, 27929, 47190}","{376, 45814}"
"13193, 29125, 4669","Special Sauce, Bac-Out Stain & Odor Remover, Pure Rewards Beef Jerky Bits Dog Treats","18045, 7055","Clean & Refresh Antibacterial Body Wash, Lavender & Twilight Jasmine, Large Vegetable Platter",0.0422,0.5008,11.8673,"{13193, 29125, 4669}","{18045, 7055}"
"13401, 15804, 41601","Valerian Extract, Fuji Apple Juice, All Profits To Charity Pineapple Salsa","15913,","Ranch Veggie Dip, Clinical Strength Invisible Solid Deodorant",0.3218,0.3925,1.2197,"{13401, 15804, 41601}","{15913, }"
"13968, 45013, 7564","Rustic Tomato Basil Sauce, Apple Sauce, Protein And Fiber Chocolate Peanut Butter Bar","16440, 32165","Fridge Pack Diet Root Beer, Orange Unsweetened Soft Drink Mix",0.4325,0.9236,2.1355,"{13968, 45013, 7564}","{16440, 32165}"
"15913, 29370","Ranch Veggie Dip, Organic White Cheddar Popcorn",605,Natural Liquid Laundry Detergent - Blue Eucalyptus and Lavender,0.1991,0.7429,3.7313,"{15913, 29370}",{605}
